Transaction 0x4962…3726: ,HTTP request duration: 317.469782ms, Processing duration: 2.094µs
Transaction 0x8998…b6ed: ,HTTP request duration: 248.842027ms, Processing duration: 1.022µs
Transaction 0x03ac…5b3e: ,HTTP request duration: 229.227011ms, Processing duration: 6.673µs
Transaction 0x4376…94db: ,HTTP request duration: 110.824013ms, Processing duration: 2.224µs
Transaction 0x8aa6…aad8: ,HTTP request duration: 326.41124ms, Processing duration: 2.124µsTransaction 0x2b58…166e: ,HTTP request duration: 326.442638ms, Processing duration: 2.094µs

Transaction 0x97b4…02d9: ,HTTP request duration: 138.86535ms, Processing duration: 1.873µs
Transaction 0x2ea8…45c5: ,HTTP request duration: 182.340854ms, Processing duration: 1.452µs
Transaction 0x7f1a…6b4f: ,HTTP request duration: 108.445322ms, Processing duration: 1.032µs
Transaction 0x8af0…9f86: ,HTTP request duration: 213.5599ms, Processing duration: 1.743µs
Transaction 0x76f8…f828: ,HTTP request duration: 226.881651ms, Processing duration: 2.454µs
Transaction 0x1440…1ca2: ,HTTP request duration: 201.819265ms, Processing duration: 2.244µs
Transaction 0x94c7…25be: ,HTTP request duration: 117.623994ms, Processing duration: 832ns
Transaction 0x7b69…2fed: ,HTTP request duration: 135.199631ms, Processing duration: 2.314µs
Transaction 0xe4a5…07f6: ,HTTP request duration: 130.586686ms, Processing duration: 1.493µs
Transaction 0xdb17…b950: ,HTTP request duration: 145.180677ms, Processing duration: 2.224µs
Transaction 0x110f…362f: ,HTTP request duration: 132.913552ms, Processing duration: 1.894µs
Transaction 0xf683…125b: ,HTTP request duration: 106.698986ms, Processing duration: 2.103µs
Transaction 0x2a2f…6633: ,HTTP request duration: 200.674791ms, Processing duration: 1.964µs
Transaction 0x7030…4d1b: ,HTTP request duration: 208.624962ms, Processing duration: 851ns
Transaction 0x7d4f…5b91: ,HTTP request duration: 133.759347ms, Processing duration: 2.245µs
Transaction 0xee07…0ae2: ,HTTP request duration: 226.820946ms, Processing duration: 2.124µs
Transaction 0x3f67…b85d: ,HTTP request duration: 115.300565ms, Processing duration: 1.032µs
Transaction 0x0d9c…29a5: ,HTTP request duration: 152.566708ms, Processing duration: 831ns
